--- Relatório: Diferenças Finitas ---

Problema 1:
x = 0.00000, y = 40.00000
x = 0.52632, y = 46.52282
x = 1.05263, y = 53.12436
x = 1.57895, y = 59.82796
x = 2.10526, y = 66.65695
x = 2.63158, y = 73.63464
x = 3.15789, y = 80.78437
x = 3.68421, y = 88.12946
x = 4.21053, y = 95.69325
x = 4.73684, y = 103.49905
x = 5.26316, y = 111.57020
x = 5.78947, y = 119.93002
x = 6.31579, y = 128.60184
x = 6.84211, y = 137.60898
x = 7.36842, y = 146.97478
x = 7.89474, y = 156.72255
x = 8.42105, y = 166.87564
x = 8.94737, y = 177.45736
x = 9.47368, y = 188.49103
x = 10.00000, y = 200.00000

--------------------------------------------------
Tempo de execucao: 0.015475 segundos
