--- Relatório: Shooting Method ---

Problema 1:
x = 0.00000, y = 40.00000
x = 0.52632, y = 46.70998
x = 1.05263, y = 53.49396
x = 1.57895, y = 60.37075
x = 2.10526, y = 67.35939
x = 2.63158, y = 74.47926
x = 3.15789, y = 81.75007
x = 3.68421, y = 89.19197
x = 4.21053, y = 96.82558
x = 4.73684, y = 104.67206
x = 5.26316, y = 112.75314
x = 5.78947, y = 121.09121
x = 6.31579, y = 129.70938
x = 6.84211, y = 138.63152
x = 7.36842, y = 147.88236
x = 7.89474, y = 157.48752
x = 8.42105, y = 167.47362
x = 8.94737, y = 177.86834
x = 9.47368, y = 188.70046
x = 10.00000, y = 200.00000

--------------------------------------------------
Tempo de execucao: 0.107877 segundos
